# DTStamp_FHdata_calc_accn_t (tangential acceleration) 2023-10-14 11:43:18 76307464 
# N[1] rtime[2], u[3], u_next[4], curr_alpha[5], curr_beta[6], curr_norm_accn[7], min_tang_accn[8], curr_tang_accn[9], max_tang_accn[10] eps[11] rho[12] check_tang_accn[13] 
    32     0.032000  0.003034139  0.000095414  0.948102861  0.317963780  0.000000000000000000 -31.642136353  31.642136353  31.642136353  0.000000484303245   103.201714 31.642136352826068 
    33     0.033000  0.003129554  0.000095451  0.948084453  0.318018664  0.000000000000000000 -31.642750721  31.642750721  31.642750721  0.000000484721336   103.112676 31.642750720941578 
    34     0.034000  0.003225004  0.000095487  0.948066028  0.318073587  0.000000000000000000 -31.643365667  31.643365667  31.643365667  0.000000485140013   103.023666 31.643365666876758 
    35     0.035000  0.003320492  0.000095524  0.948047587  0.318128549  0.000000000000000000 -31.643981191  31.643981191  31.643981191  0.000000485559280   102.934685 31.643981191492159 
    36     0.036000  0.003416016  0.000095561  0.948029129  0.318183550  0.000000000000000000 -31.644597296  31.644597296  31.644597296  0.000000485979136   102.845733 31.644597295650065 
    37     0.037000  0.003511577  0.000095597  0.948010654  0.318238590  0.000000000000000000 -31.645213980  31.645213980  31.645213980  0.000000486399582   102.756810 31.645213980214521 
    38     0.038000  0.003607174  0.000095634  0.947992163  0.318293669  0.000000000000000000 -31.645831246  31.645831246  31.645831246  0.000000486820621   102.667915 31.645831246051287 
    39     0.039000  0.003702808  0.000095671  0.947973655  0.318348787  0.000000000000000000 -31.646449094  31.646449094  31.646449094  0.000000487242253   102.579049 31.646449094027901 
    40     0.040000  0.003798479  0.000095708  0.947955130  0.318403945  0.000000000000000000 -31.647067525  31.647067525  31.647067525  0.000000487664479   102.490211 31.647067525013636 
    41     0.041000  0.003894187  0.000095745  0.947936588  0.318459142 -0.000000000000056843 -31.647686540  31.647686540  31.647686540  0.000000488087300   102.401403 31.647686539879516 
    42     0.042000  0.003989932  0.000095782  0.947918030  0.318514378  0.000000000000000000 -31.648306139  31.648306139  31.648306139  0.000000488510717   102.312623 31.648306139498395 
    43     0.043000  0.004085713  0.000095818  0.947899455  0.318569653  0.000000000000000000 -31.648926325  31.648926325  31.648926325  0.000000488934732   102.223872 31.648926324744796 
    44     0.044000  0.004181532  0.000095855  0.947880863  0.318624968  0.000000000000000000 -31.649547096  31.649547096  31.649547096  0.000000489359346   102.135150 31.649547096495077 
    45     0.045000  0.004277387  0.000095892  0.947862254  0.318680323  0.000000000000000000 -31.650168456  31.650168456  31.650168456  0.000000489784560   102.046457 31.650168455627352 
    46     0.046000  0.004373280  0.000095929  0.947843628  0.318735717  0.000000000000000000 -31.650790403  31.650790403  31.650790403  0.000000490210374   101.957793 31.650790403021524 
    47     0.047000  0.004469209  0.000095966  0.947824985  0.318791150  0.000000000000000000 -31.651412940  31.651412940  31.651412940  0.000000490636791   101.869157 31.651412939559286 
    48     0.048000  0.004565175  0.000096004  0.947806326  0.318846623  0.000000000000000000 -31.652036066  31.652036066  31.652036066  0.000000491063811   101.780550 31.652036066124111 
    49     0.049000  0.004661179  0.000096041  0.947787649  0.318902136  0.000000000000000000 -31.652659784  31.652659784  31.652659784  0.000000491491436   101.691973 31.652659783601273 
    50     0.050000  0.004757220  0.000096078  0.947768955  0.318957689  0.000000000000056843 -31.653284093  31.653284093  31.653284093  0.000000491919666   101.603424 31.653284092877854 
    51     0.051000  0.004853297  0.000096115  0.947750245  0.319013281  0.000000000000000000 -31.653908995  31.653908995  31.653908995  0.000000492348502   101.514904 31.653908994842688 
    52     0.052000  0.004949412  0.000096152  0.947731517  0.319068913  0.000000000000000000 -31.654534490  31.654534490  31.654534490  0.000000492777947   101.426413 31.654534490386496 
    53     0.053000  0.005045565  0.000096189  0.947712773  0.319124585  0.000000000000000000 -31.655160580  31.655160580  31.655160580  0.000000493208001   101.337951 31.655160580401773 
    54     0.054000  0.005141754  0.000096227  0.947694011  0.319180297  0.000000000000000000 -31.655787266  31.655787266  31.655787266  0.000000493638664   101.249517 31.655787265782831 
    55     0.055000  0.005237981  0.000096264  0.947675232  0.319236049  0.000000000000000000 -31.656414547  31.656414547  31.656414547  0.000000494069940   101.161113 31.656414547425801 
    56     0.056000  0.005334245  0.000096301  0.947656436  0.319291840  0.000000000000000000 -31.657042426  31.657042426  31.657042426  0.000000494501828   101.072738 31.657042426228649 
    57     0.057000  0.005430546  0.000096339  0.947637623  0.319347672  0.000000000000000000 -31.657670903  31.657670903  31.657670903  0.000000494934329   100.984392 31.657670903091184 
    58     0.058000  0.005526885  0.000096376  0.947618793  0.319403544  0.000000000000000000 -31.658299979  31.658299979  31.658299979  0.000000495367445   100.896075 31.658299978915025 
    59     0.059000  0.005623261  0.000096414  0.947599945  0.319459456  0.000000000000000000 -31.658929655  31.658929655  31.658929655  0.000000495801178   100.807786 31.658929654603654 
    60     0.060000  0.005719675  0.000096451  0.947581080  0.319515409  0.000000000000000000 -31.659559931  31.659559931  31.659559931  0.000000496235528   100.719527 31.659559931062383 
    61     0.061000  0.005816126  0.000096489  0.947562198  0.319571401  0.000000000000056843 -31.660190809  31.660190809  31.660190809  0.000000496670496   100.631297 31.660190809198404 
    62     0.062000  0.005912615  0.000096526  0.947543299  0.319627434  0.000000000000000000 -31.660822290  31.660822290  31.660822290  0.000000497106084   100.543096 31.660822289920706 
    63     0.063000  0.006009141  0.000096564  0.947524382  0.319683507  0.000000000000000000 -31.661454374  31.661454374  31.661454374  0.000000497542292   100.454924 31.661454374140202 
    64     0.064000  0.006105705  0.000096601  0.947505448  0.319739621  0.000000000000000000 -31.662087063  31.662087063  31.662087063  0.000000497979123   100.366781 31.662087062769650 
    65     0.065000  0.006202306  0.000096639  0.947486497  0.319795775  0.000000000000000000 -31.662720357  31.662720357  31.662720357  0.000000498416577   100.278667 31.662720356723646 
    66     0.066000  0.006298946  0.000096677  0.947467528  0.319851970  0.000000000000000000 -31.663354257  31.663354257  31.663354257  0.000000498854655   100.190582 31.663354256918712 
    67     0.067000  0.006395622  0.000096715  0.947448542  0.319908205  0.000000000000000000 -31.663988764  31.663988764  31.663988764  0.000000499293359   100.102526 31.663988764273203 
    68     0.068000  0.006492337  0.000096752  0.947429539  0.319964481 -0.000000000000056843 -31.664623880  31.664623880  31.664623880  0.000000499732690   100.014500 31.664623879707364 
    69     0.069000  0.006589089  0.000096790  0.947410518  0.320020797  0.000000000000000000 -31.665259604  31.665259604  31.665259604  0.000000500172649    99.926502 31.665259604143404 
    70     0.070000  0.006685879  0.000096828  0.947391479  0.320077154  0.000000000000000000 -31.665895939  31.665895939  31.665895939  0.000000500613237    99.838534 31.665895938505297 
    71     0.071000  0.006782707  0.000096866  0.947372423  0.320133552 -0.000000000000056843 -31.666532884  31.666532884  31.666532884  0.000000501054455    99.750595 31.666532883718997 
    72     0.072000  0.006879573  0.000096904  0.947353350  0.320189991  0.000000000000000000 -31.667170441  31.667170441  31.667170441  0.000000501496305    99.662685 31.667170440712393 
    73     0.073000  0.006976477  0.000096942  0.947334259  0.320246471  0.000000000000000000 -31.667808610  31.667808610  31.667808610  0.000000501938788    99.574805 31.667808610415182 
    74     0.074000  0.007073419  0.000096980  0.947315150  0.320302991  0.000000000000000000 -31.668447394  31.668447394  31.668447394  0.000000502381905    99.486953 31.668447393759056 
    75     0.075000  0.007170399  0.000097018  0.947296024  0.320359553  0.000000000000000000 -31.669086792  31.669086792  31.669086792  0.000000502825658    99.399131 31.669086791677589 
    76     0.076000  0.007267416  0.000097056  0.947276880  0.320416155  0.000000000000000000 -31.669726805  31.669726805  31.669726805  0.000000503270047    99.311338 31.669726805106286 
    77     0.077000  0.007364472  0.000097094  0.947257718  0.320472799  0.000000000000000000 -31.670367435  31.670367435  31.670367435  0.000000503715073    99.223574 31.670367434982591 
    78     0.078000  0.007461566  0.000097132  0.947238539  0.320529484  0.000000000000000000 -31.671008682  31.671008682  31.671008682  0.000000504160739    99.135839 31.671008682245869 
    79     0.079000  0.007558698  0.000097170  0.947219342  0.320586209  0.000000000000000000 -31.671650548  31.671650548  31.671650548  0.000000504607045    99.048134 31.671650547837423 
    80     0.080000  0.007655868  0.000097208  0.947200128  0.320642977  0.000000000000000000 -31.672293033  31.672293033  31.672293033  0.000000505053992    98.960458 31.672293032700495 
    81     0.081000  0.007753076  0.000097247  0.947180895  0.320699785  0.000000000000000000 -31.672936138  31.672936138  31.672936138  0.000000505501582    98.872812 31.672936137780294 
    82     0.082000  0.007850323  0.000097285  0.947161645  0.320756635  0.000000000000000000 -31.673579864  31.673579864  31.673579864  0.000000505949816    98.785194 31.673579864023964 
    83     0.083000  0.007947608  0.000097323  0.947142377  0.320813526  0.000000000000000000 -31.674224212  31.674224212  31.674224212  0.000000506398696    98.697606 31.674224212380622 
    84     0.084000  0.008044931  0.000097361  0.947123091  0.320870458 -0.000000000000056843 -31.674869184  31.674869184  31.674869184  0.000000506848222    98.610047 31.674869183801309 
    85     0.085000  0.008142292  0.000097400  0.947103787  0.320927432  0.000000000000000000 -31.675514779  31.675514779  31.675514779  0.000000507298395    98.522518 31.675514779239119 
    86     0.086000  0.008239692  0.000097438  0.947084465  0.320984448  0.000000000000000000 -31.676161000  31.676161000  31.676161000  0.000000507749217    98.435018 31.676160999649028 
    87     0.087000  0.008337130  0.000097477  0.947065126  0.321041505 -0.000000000000056843 -31.676807846  31.676807846  31.676807846  0.000000508200690    98.347548 31.676807845988009 
    88     0.088000  0.008434607  0.000097515  0.947045768  0.321098604  0.000000000000000000 -31.677455319  31.677455319  31.677455319  0.000000508652814    98.260106 31.677455319215095 
    89     0.089000  0.008532122  0.000097554  0.947026392  0.321155744  0.000000000000000000 -31.678103420  31.678103420  31.678103420  0.000000509105591    98.172695 31.678103420291208 
    90     0.090000  0.008629676  0.000097592  0.947006999  0.321212927  0.000000000000000000 -31.678752150  31.678752150  31.678752150  0.000000509559022    98.085312 31.678752150179314 
    91     0.091000  0.008727268  0.000097631  0.946987587  0.321270151  0.000000000000000000 -31.679401510  31.679401510  31.679401510  0.000000510013109    97.997959 31.679401509844375 
    92     0.092000  0.008824899  0.000097669  0.946968158  0.321327417  0.000000000000056843 -31.680051500  31.680051500  31.680051500  0.000000510467851    97.910636 31.680051500253366 
    93     0.093000  0.008922568  0.000097708  0.946948710  0.321384724  0.000000000000000000 -31.680702122  31.680702122  31.680702122  0.000000510923252    97.823342 31.680702122375212 
